source_season,depth_source_format,season,week,game_type,dt,depth_timestamp,team,player_name,espn_id,gsis_id,roster_position,pos_grp_id,pos_grp,pos_id,pos_name,pos_abb,pos_slot,pos_rank,data_split
2020,legacy_weekly,2020,1,REG,,,ARI,Larry Fitzgerald,,00-0022921,WR,,Offense,,WR,WR,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,Corey Peters,,00-0027686,DT,,Defense,,NT,NT,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,Patrick Peterson,,00-0027943,CB,,Defense,,CB,CB,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,Aaron Brewer,,00-0028946,LS,,Special Teams,,LS,LS,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,J.R. Sweezy,,00-0029146,G,,Offense,,RG,RG,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,Kelvin Beachum,,00-0029316,T,,Offense,,RT,RT,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,Dre Kirkpatrick,,00-0029560,CB,,Defense,,CB,CB,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,Chandler Jones,,00-0029585,DE,,Defense,,OLB,OLB,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,Chris Banjo,,00-0029747,FS,,Defense,,S,S,,2,training
2020,legacy_weekly,2020,1,REG,,,ARI,DeAndre Hopkins,,00-0030564,WR,,Offense,,WR,WR,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,Justin Pugh,,00-0030585,G,,Offense,,LG,LG,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,Devon Kennard,,00-0031241,OLB,,Defense,,OLB,OLB,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,Jordan Phillips,,00-0031557,DT,,Defense,,DT,DT,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,Maxx Williams,,00-0031558,TE,,Offense,,TE,TE,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,Brett Hundley,,00-0031589,QB,,Offense,,QB,QB,,2,training
2020,legacy_weekly,2020,1,REG,,,ARI,Angelo Blackson,,00-0032107,DT,,Defense,,DT,DT,,2,training
2020,legacy_weekly,2020,1,REG,,,ARI,Jordan Hicks,,00-0032129,ILB,,Defense,,ILB,ILB,,1,training
