season,week,game_id,game_date,player_id,player_display_name,position,team,opponent,field_goals_made,field_goals_attempted,field_goals_missed,field_goals_blocked,field_goals_made_0_19,field_goals_made_20_29,field_goals_made_30_39,field_goals_made_40_49,field_goals_made_50_59,field_goals_made_60_plus,extra_points_made,extra_points_attempted,extra_points_missed,extra_points_blocked,espn_fantasy_points,yahoo_fantasy_points
2025,16,2025_16_BUF_CLE,2025-12-21,00-0038428,Andre Szmyt,K,CLE,BUF,2,2,0,0,0,1,0,1,0,0,2,2,0,0,9.0,9.0
2025,16,2025_16_CIN_MIA,2025-12-21,00-0036854,Evan McPherson,K,CIN,MIA,1,1,0,0,0,0,0,1,0,0,6,6,0,0,10.0,10.0
2025,16,2025_16_CIN_MIA,2025-12-21,00-0036816,Riley Patterson,K,MIA,CIN,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3.0,3.0
2025,16,2025_16_GB_CHI,2025-12-20,00-0031203,Cairo Santos,K,CHI,GB,3,3,0,0,0,0,0,2,1,0,1,1,0,0,14.0,14.0
2025,16,2025_16_GB_CHI,2025-12-20,00-0029822,Brandon McManus,K,GB,CHI,3,3,0,0,0,3,0,0,0,0,1,1,0,0,10.0,10.0
2025,16,2025_16_JAX_DEN,2025-12-21,00-0032569,Wil Lutz,K,DEN,JAX,2,3,1,0,0,1,0,0,1,0,2,2,0,0,9.0,10.0
2025,16,2025_16_JAX_DEN,2025-12-21,00-0039409,Cam Little,K,JAX,DEN,2,2,0,0,0,1,0,1,0,0,4,4,0,0,11.0,11.0
2025,16,2025_16_KC_TEN,2025-12-21,00-0033303,Harrison Butker,K,KC,TEN,3,4,1,0,0,1,0,1,1,0,0,0,0,0,11.0,12.0
2025,16,2025_16_KC_TEN,2025-12-21,00-0035192,Joey Slye,K,TEN,KC,1,1,0,0,0,1,0,0,0,0,3,3,0,0,6.0,6.0
2025,16,2025_16_LAC_DAL,2025-12-21,00-0037692,Brandon Aubrey,K,DAL,LAC,1,1,0,0,0,0,1,0,0,0,2,2,0,0,5.0,5.0
2025,16,2025_16_LAC_DAL,2025-12-21,00-0037224,Cameron Dicker,K,LAC,DAL,2,2,0,0,0,1,1,0,0,0,4,4,0,0,10.0,10.0
2025,16,2025_16_LA_SEA,2025-12-18,00-0039498,Harrison Mevis,K,LA,SEA,3,4,1,0,0,2,0,1,0,0,4,4,0,0,13.0,14.0
2025,16,2025_16_LA_SEA,2025-12-18,00-0031492,Jason Myers,K,SEA,LA,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2.0,2.0
2025,16,2025_16_LV_HOU,2025-12-21,00-0032726,Ka'imi Fairbairn,K,HOU,LV,3,3,0,0,0,0,0,1,2,0,2,2,0,0,16.0,16.0
2025,16,2025_16_LV_HOU,2025-12-21,00-0034161,Daniel Carlson,K,LV,HOU,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3.0,3.0
2025,16,2025_16_MIN_NYG,2025-12-21,00-0039404,Will Reichard,K,MIN,NYG,3,3,0,0,0,0,2,1,0,0,1,1,0,0,11.0,11.0
2025,16,2025_16_MIN_NYG,2025-12-21,00-0040530,Ben Sauls,K,NYG,MIN,2,2,0,0,0,1,1,0,0,0,1,1,0,0,7.0,7.0
2025,16,2025_16_NE_BAL,2025-12-21,00-0040074,Tyler Loop,K,BAL,NE,1,2,1,0,0,0,1,0,0,0,3,3,0,0,5.0,6.0
2025,16,2025_16_NE_BAL,2025-12-21,00-0040200,Andy Borregales,K,NE,BAL,2,2,0,0,0,0,0,2,0,0,2,2,0,0,10.0,10.0
2025,16,2025_16_NYJ_NO,2025-12-21,00-0039229,Charlie Smyth,K,NO,NYJ,5,6,1,0,0,0,3,1,1,0,2,2,0,0,19.0,20.0
2025,16,2025_16_NYJ_NO,2025-12-21,00-0025565,Nick Folk,K,NYJ,NO,2,2,0,0,0,1,1,0,0,0,0,0,0,0,6.0,6.0
2025,16,2025_16_PHI_WAS,2025-12-20,00-0033787,Jake Elliott,K,PHI,WAS,0,2,2,0,0,0,0,0,0,0,3,3,0,0,1.0,3.0
2025,16,2025_16_PHI_WAS,2025-12-20,00-0038562,Jake Moody,K,WAS,PHI,1,1,0,0,0,1,0,0,0,0,1,1,0,0,4.0,4.0
2025,16,2025_16_PIT_DET,2025-12-21,00-0039172,Jake Bates,K,DET,PIT,1,1,0,0,0,0,1,0,0,0,3,3,0,0,6.0,6.0
2025,16,2025_16_PIT_DET,2025-12-21,00-0031136,Chris Boswell,K,PIT,DET,2,3,1,0,0,1,0,0,1,0,3,3,0,0,10.0,11.0
2025,16,2025_16_SF_IND,2025-12-22,00-0038905,Blake Grupe,K,IND,SF,2,2,0,0,0,0,1,0,1,0,3,3,0,0,11.0,11.0
2025,16,2025_16_SF_IND,2025-12-22,00-0034173,Eddy Pineiro,K,SF,IND,2,3,1,0,0,1,1,0,0,0,6,6,0,0,11.0,12.0
2025,16,2025_16_TB_CAR,2025-12-21,00-0040279,Ryan Fitzgerald,K,CAR,TB,3,3,0,0,0,1,0,2,0,0,2,2,0,0,13.0,13.0
2025,16,2025_16_TB_CAR,2025-12-21,00-0035358,Chase McLaughlin,K,TB,CAR,2,2,0,0,0,1,0,0,1,0,2,2,0,0,10.0,10.0
2025,17,2025_17_ARI_CIN,2025-12-28,00-0038567,Chad Ryland,K,ARI,CIN,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2.0,2.0
2025,17,2025_17_ARI_CIN,2025-12-28,00-0036854,Evan McPherson,K,CIN,ARI,1,1,0,0,0,0,0,0,1,0,4,5,1,0,9.0,9.0
2025,17,2025_17_BAL_GB,2025-12-27,00-0040074,Tyler Loop,K,BAL,GB,2,2,0,0,0,1,1,0,0,0,5,5,0,0,11.0,11.0
2025,17,2025_17_BAL_GB,2025-12-27,00-0029822,Brandon McManus,K,GB,BAL,1,1,0,0,0,1,0,0,0,0,3,3,0,0,6.0,6.0
2025,17,2025_17_CHI_SF,2025-12-28,00-0031203,Cairo Santos,K,CHI,SF,1,1,0,0,0,1,0,0,0,0,5,5,0,0,8.0,8.0
2025,17,2025_17_CHI_SF,2025-12-28,00-0034173,Eddy Pineiro,K,SF,CHI,0,0,0,0,0,0,0,0,0,0,6,6,0,0,6.0,6.0
2025,17,2025_17_DAL_WAS,2025-12-25,00-0037692,Brandon Aubrey,K,DAL,WAS,3,4,1,0,0,0,0,1,2,0,3,3,0,0,16.0,17.0
2025,17,2025_17_DAL_WAS,2025-12-25,00-0038562,Jake Moody,K,WAS,DAL,3,3,0,0,0,2,0,0,1,0,2,2,0,0,13.0,13.0
2025,17,2025_17_DEN_KC,2025-12-25,00-0032569,Wil Lutz,K,DEN,KC,2,2,0,0,0,1,1,0,0,0,2,2,0,0,8.0,8.0
2025,17,2025_17_DEN_KC,2025-12-25,00-0033303,Harrison Butker,K,KC,DEN,2,2,0,0,0,0,0,1,1,0,1,1,0,0,10.0,10.0
2025,17,2025_17_DET_MIN,2025-12-25,00-0039172,Jake Bates,K,DET,MIN,1,1,0,0,0,0,0,1,0,0,1,1,0,0,5.0,5.0
2025,17,2025_17_DET_MIN,2025-12-25,00-0039404,Will Reichard,K,MIN,DET,3,3,0,0,0,0,0,1,2,0,2,2,0,0,16.0,16.0
2025,17,2025_17_HOU_LAC,2025-12-27,00-0032726,Ka'imi Fairbairn,K,HOU,LAC,2,2,0,0,0,0,0,2,0,0,2,2,0,0,10.0,10.0
