season,week,game_id,game_date,team,opponent,sacks,interceptions,fumble_recoveries,defensive_touchdowns,special_teams_touchdowns,blocked_kicks,safeties,points_allowed,yards_allowed,espn_fantasy_points,yahoo_fantasy_points
2025,4,2025_04_CAR_NE,2025-09-28,NE,CAR,1,0,0,0,1,0,0,13.0,348,10.0,11.0
2025,4,2025_04_CHI_LV,2025-09-28,CHI,LV,0,3,1,0,0,1,0,24.0,357,9.0,10.0
2025,4,2025_04_CHI_LV,2025-09-28,LV,CHI,1,1,0,0,0,0,0,25.0,291,5.0,3.0
2025,4,2025_04_CIN_DEN,2025-09-29,CIN,DEN,0,1,0,0,0,0,0,28.0,512,-5.0,1.0
2025,4,2025_04_CIN_DEN,2025-09-29,DEN,CIN,3,0,0,0,0,0,0,3.0,197,10.0,10.0
2025,4,2025_04_CLE_DET,2025-09-28,CLE,DET,0,1,0,0,0,0,0,34.0,277,3.0,1.0
2025,4,2025_04_CLE_DET,2025-09-28,DET,CLE,3,2,1,0,1,0,0,10.0,277,20.0,19.0
2025,4,2025_04_GB_DAL,2025-09-28,DAL,GB,1,0,1,0,0,1,0,40.0,513,-4.0,1.0
2025,4,2025_04_GB_DAL,2025-09-28,GB,DAL,1,0,0,0,0,0,0,40.0,436,-5.0,-3.0
2025,4,2025_04_IND_LA,2025-09-28,IND,LA,3,0,1,0,0,0,0,27.0,492,0.0,5.0
2025,4,2025_04_IND_LA,2025-09-28,LA,IND,2,2,0,0,0,0,0,20.0,361,5.0,7.0
2025,4,2025_04_JAX_SF,2025-09-28,JAX,SF,1,2,2,0,1,0,0,21.0,395,14.0,15.0
2025,4,2025_04_JAX_SF,2025-09-28,SF,JAX,0,0,0,0,0,0,0,26.0,325,0.0,0.0
2025,4,2025_04_LAC_NYG,2025-09-28,LAC,NYG,6,0,0,0,0,0,0,21.0,310,6.0,6.0
2025,4,2025_04_LAC_NYG,2025-09-28,NYG,LAC,2,2,0,0,0,0,0,18.0,372,5.0,7.0
2025,4,2025_04_MIN_PIT,2025-09-28,MIN,PIT,2,0,0,0,0,1,0,24.0,349,4.0,4.0
2025,4,2025_04_MIN_PIT,2025-09-28,PIT,MIN,6,2,0,0,0,0,0,21.0,468,5.0,10.0
2025,4,2025_04_NO_BUF,2025-09-28,BUF,NO,3,1,0,0,0,0,0,19.0,332,5.0,6.0
2025,4,2025_04_NO_BUF,2025-09-28,NO,BUF,3,1,0,0,0,0,0,31.0,392,3.0,4.0
2025,4,2025_04_NYJ_MIA,2025-09-29,MIA,NYJ,2,0,3,0,0,0,0,21.0,442,5.0,8.0
2025,4,2025_04_NYJ_MIA,2025-09-29,NYJ,MIA,0,0,0,0,0,0,0,27.0,300,0.0,0.0
2025,4,2025_04_PHI_TB,2025-09-28,PHI,TB,2,1,1,0,1,1,0,25.0,410,11.0,14.0
2025,4,2025_04_PHI_TB,2025-09-28,TB,PHI,2,0,0,0,0,0,1,31.0,236,5.0,3.0
2025,4,2025_04_SEA_ARI,2025-09-25,ARI,SEA,3,0,1,0,0,0,0,23.0,410,2.0,5.0
2025,4,2025_04_SEA_ARI,2025-09-25,SEA,ARI,6,2,0,0,0,0,0,20.0,325,10.0,11.0
2025,4,2025_04_TEN_HOU,2025-09-28,HOU,TEN,2,1,0,0,0,0,0,0.0,205,11.0,14.0
